Entity,Code,Date,Daily confirmed cases (cases)
Afghanistan,AFG,"Feb 22, 2020",0
Afghanistan,AFG,"Feb 23, 2020",0
Afghanistan,AFG,"Feb 24, 2020",0
Afghanistan,AFG,"Feb 25, 2020",1
Afghanistan,AFG,"Feb 26, 2020",0
Afghanistan,AFG,"Feb 27, 2020",0
Afghanistan,AFG,"Feb 28, 2020",0
Afghanistan,AFG,"Feb 29, 2020",0
Afghanistan,AFG,"Mar 1, 2020",0
Afghanistan,AFG,"Mar 2, 2020",0
Afghanistan,AFG,"Mar 8, 2020",3
Afghanistan,AFG,"Mar 11, 2020",3
Afghanistan,AFG,"Mar 15, 2020",3
Afghanistan,AFG,"Mar 16, 2020",6
Afghanistan,AFG,"Mar 17, 2020",5
Afghanistan,AFG,"Mar 18, 2020",1
Afghanistan,AFG,"Mar 19, 2020",0
Afghanistan,AFG,"Mar 20, 2020",0
Afghanistan,AFG,"Mar 21, 2020",2
Afghanistan,AFG,"Mar 22, 2020",0
Afghanistan,AFG,"Mar 23, 2020",10
Afghanistan,AFG,"Mar 24, 2020",6
Afghanistan,AFG,"Mar 25, 2020",2
Afghanistan,AFG,"Mar 26, 2020",33
Afghanistan,AFG,"Mar 27, 2020",0
Afghanistan,AFG,"Mar 28, 2020",16
Afghanistan,AFG,"Mar 29, 2020",15
Afghanistan,AFG,"Mar 30, 2020",8
Afghanistan,AFG,"Mar 31, 2020",27
Afghanistan,AFG,"Apr 1, 2020",25
Afghanistan,AFG,"Apr 2, 2020",26
Afghanistan,AFG,"Apr 3, 2020",43
Afghanistan,AFG,"Apr 4, 2020",0
Afghanistan,AFG,"Apr 5, 2020",35
Afghanistan,AFG,"Apr 6, 2020",29
Afghanistan,AFG,"Apr 7, 2020",38
Afghanistan,AFG,"Apr 8, 2020",30
Afghanistan,AFG,"Apr 9, 2020",56
Afghanistan,AFG,"Apr 10, 2020",61
Afghanistan,AFG,"Apr 11, 2020",37
Afghanistan,AFG,"Apr 12, 2020",34
Afghanistan,AFG,"Apr 13, 2020",52
Afghanistan,AFG,"Apr 14, 2020",58
Afghanistan,AFG,"Apr 15, 2020",49
Afghanistan,AFG,"Apr 16, 2020",70
Afghanistan,AFG,"Apr 17, 2020",10
Afghanistan,AFG,"Apr 18, 2020",51
Afghanistan,AFG,"Apr 19, 2020",63
Afghanistan,AFG,"Apr 20, 2020",88
Afghanistan,AFG,"Apr 21, 2020",35
Afghanistan,AFG,"Apr 22, 2020",61
Afghanistan,AFG,"Apr 23, 2020",84
Afghanistan,AFG,"Apr 24, 2020",105
Afghanistan,AFG,"Apr 25, 2020",70
Afghanistan,AFG,"Apr 26, 2020",112
Afghanistan,AFG,"Apr 27, 2020",68
Afghanistan,AFG,"Apr 28, 2020",172
Afghanistan,AFG,"Apr 29, 2020",124
Afghanistan,AFG,"Apr 30, 2020",122
Afghanistan,AFG,"May 1, 2020",222
Afghanistan,AFG,"May 2, 2020",164
Afghanistan,AFG,"May 3, 2020",134
Afghanistan,AFG,"May 4, 2020",235
Afghanistan,AFG,"May 5, 2020",190
Afghanistan,AFG,"May 6, 2020",330
Afghanistan,AFG,"May 7, 2020",168
Afghanistan,AFG,"May 8, 2020",171
Afghanistan,AFG,"May 9, 2020",215
Afghanistan,AFG,"May 10, 2020",255
Afghanistan,AFG,"May 11, 2020",369
Afghanistan,AFG,"May 12, 2020",285
Afghanistan,AFG,"May 13, 2020",280
Afghanistan,AFG,"May 14, 2020",259
Afghanistan,AFG,"May 15, 2020",113
Afghanistan,AFG,"May 16, 2020",1063
Afghanistan,AFG,"May 17, 2020",0
Afghanistan,AFG,"May 18, 2020",262
Afghanistan,AFG,"May 19, 2020",408
Afghanistan,AFG,"May 20, 2020",581
Afghanistan,AFG,"May 21, 2020",492
Afghanistan,AFG,"May 22, 2020",531
Afghanistan,AFG,"May 23, 2020",540
Afghanistan,AFG,"May 24, 2020",782
Afghanistan,AFG,"May 25, 2020",584
Afghanistan,AFG,"May 26, 2020",591
Afghanistan,AFG,"May 27, 2020",658
Afghanistan,AFG,"May 28, 2020",625
Afghanistan,AFG,"May 29, 2020",580
Afghanistan,AFG,"May 30, 2020",623
Afghanistan,AFG,"May 31, 2020",866
Afghanistan,AFG,"Jun 1, 2020",680
Afghanistan,AFG,"Jun 2, 2020",545
Afghanistan,AFG,"Jun 3, 2020",759
Afghanistan,AFG,"Jun 4, 2020",758
Afghanistan,AFG,"Jun 5, 2020",787
Afghanistan,AFG,"Jun 6, 2020",915
Afghanistan,AFG,"Jun 7, 2020",582
Afghanistan,AFG,"Jun 8, 2020",791
Afghanistan,AFG,"Jun 9, 2020",575
Afghanistan,AFG,"Jun 10, 2020",542
Afghanistan,AFG,"Jun 11, 2020",684
Afghanistan,AFG,"Jun 12, 2020",747
Afghanistan,AFG,"Jun 13, 2020",656
Afghanistan,AFG,"Jun 14, 2020",556
Afghanistan,AFG,"Jun 15, 2020",664
Africa,,"Dec 31, 2019",0
Africa,,"Jan 1, 2020",0
Africa,,"Jan 2, 2020",0
Africa,,"Jan 3, 2020",0
Africa,,"Jan 4, 2020",0
Africa,,"Jan 5, 2020",0
Africa,,"Jan 6, 2020",0
Africa,,"Jan 7, 2020",0
Africa,,"Jan 8, 2020",0
Africa,,"Jan 9, 2020",0
Africa,,"Jan 10, 2020",0
Africa,,"Jan 11, 2020",0
Africa,,"Jan 12, 2020",0
Africa,,"Jan 13, 2020",0
Africa,,"Jan 14, 2020",0
Africa,,"Jan 15, 2020",0
Africa,,"Jan 16, 2020",0
Africa,,"Jan 17, 2020",0
Africa,,"Jan 18, 2020",0
Africa,,"Jan 19, 2020",0
Africa,,"Jan 20, 2020",0
Africa,,"Jan 21, 2020",0
Africa,,"Jan 22, 2020",0
Africa,,"Jan 23, 2020",0
Africa,,"Jan 24, 2020",0
Africa,,"Jan 25, 2020",0
Africa,,"Jan 26, 2020",0
Africa,,"Jan 27, 2020",0
Africa,,"Jan 28, 2020",0
Africa,,"Jan 29, 2020",0
Africa,,"Jan 30, 2020",0
Africa,,"Jan 31, 2020",0
Africa,,"Feb 1, 2020",0
Africa,,"Feb 2, 2020",0
Africa,,"Feb 3, 2020",0
Africa,,"Feb 4, 2020",0
Africa,,"Feb 5, 2020",0
Africa,,"Feb 6, 2020",0
Africa,,"Feb 7, 2020",0
Africa,,"Feb 8, 2020",0
Africa,,"Feb 9, 2020",0
Africa,,"Feb 10, 2020",0
Africa,,"Feb 11, 2020",0
Africa,,"Feb 12, 2020",0
Africa,,"Feb 13, 2020",0
Africa,,"Feb 14, 2020",0
Africa,,"Feb 15, 2020",1
Africa,,"Feb 16, 2020",0
Africa,,"Feb 17, 2020",0
Africa,,"Feb 18, 2020",0
Africa,,"Feb 19, 2020",0
Africa,,"Feb 20, 2020",0
Africa,,"Feb 21, 2020",0
Africa,,"Feb 22, 2020",0
Africa,,"Feb 23, 2020",0
Africa,,"Feb 24, 2020",0
Africa,,"Feb 25, 2020",0
Africa,,"Feb 26, 2020",1
Africa,,"Feb 27, 2020",0
Africa,,"Feb 28, 2020",1
Africa,,"Feb 29, 2020",0
Africa,,"Mar 1, 2020",2
Africa,,"Mar 2, 2020",1
Africa,,"Mar 3, 2020",3
Africa,,"Mar 4, 2020",2
Africa,,"Mar 5, 2020",9
Africa,,"Mar 6, 2020",9
Africa,,"Mar 7, 2020",14
Africa,,"Mar 8, 2020",1
Africa,,"Mar 9, 2020",39
Africa,,"Mar 10, 2020",12
Africa,,"Mar 11, 2020",10
Africa,,"Mar 12, 2020",13
Africa,,"Mar 13, 2020",41
Africa,,"Mar 14, 2020",43
Africa,,"Mar 15, 2020",37
Africa,,"Mar 16, 2020",85
Africa,,"Mar 17, 2020",78
Africa,,"Mar 18, 2020",92
Africa,,"Mar 19, 2020",139
Africa,,"Mar 20, 2020",111
Africa,,"Mar 21, 2020",231
Africa,,"Mar 22, 2020",201
Africa,,"Mar 23, 2020",213
Africa,,"Mar 24, 2020",349
Africa,,"Mar 25, 2020",465
Africa,,"Mar 26, 2020",487
Africa,,"Mar 27, 2020",588
Africa,,"Mar 28, 2020",526
Africa,,"Mar 29, 2020",320
Africa,,"Mar 30, 2020",505
Africa,,"Mar 31, 2020",508
Africa,,"Apr 1, 2020",489
Africa,,"Apr 2, 2020",622
Africa,,"Apr 3, 2020",635
Africa,,"Apr 4, 2020",625
Africa,,"Apr 5, 2020",932
Africa,,"Apr 6, 2020",735
Africa,,"Apr 7, 2020",627
Africa,,"Apr 8, 2020",722
Africa,,"Apr 9, 2020",922
Africa,,"Apr 10, 2020",834
Africa,,"Apr 11, 2020",672
Africa,,"Apr 12, 2020",714
Africa,,"Apr 13, 2020",856
Africa,,"Apr 14, 2020",769
Africa,,"Apr 15, 2020",990
Africa,,"Apr 16, 2020",962
Africa,,"Apr 17, 2020",1086
Africa,,"Apr 18, 2020",1568
Africa,,"Apr 19, 2020",1160
Africa,,"Apr 20, 2020",1246
Africa,,"Apr 21, 2020",964
Africa,,"Apr 22, 2020",1350
Africa,,"Apr 23, 2020",1069
Africa,,"Apr 24, 2020",1535
Africa,,"Apr 25, 2020",1854
Africa,,"Apr 26, 2020",1241
Africa,,"Apr 27, 2020",1432
Africa,,"Apr 28, 2020",1414
Africa,,"Apr 29, 2020",1770
Africa,,"Apr 30, 2020",1803
Africa,,"May 1, 2020",2115
Africa,,"May 2, 2020",1907
Africa,,"May 3, 2020",2019
Africa,,"May 4, 2020",1659
Africa,,"May 5, 2020",2687
Africa,,"May 6, 2020",2086
Africa,,"May 7, 2020",2469
Africa,,"May 8, 2020",2429
Africa,,"May 9, 2020",3730
Africa,,"May 10, 2020",2801
Africa,,"May 11, 2020",2754
Africa,,"May 12, 2020",3119
Africa,,"May 13, 2020",2994
Africa,,"May 14, 2020",3029
Africa,,"May 15, 2020",3146
Africa,,"May 16, 2020",2753
Africa,,"May 17, 2020",3003
Africa,,"May 18, 2020",3381
Africa,,"May 19, 2020",3269
Africa,,"May 20, 2020",3280
Africa,,"May 21, 2020",3620
Africa,,"May 22, 2020",4870
Africa,,"May 23, 2020",3857
Africa,,"May 24, 2020",4439
Africa,,"May 25, 2020",3758
Africa,,"May 26, 2020",3855
Africa,,"May 27, 2020",3917
Africa,,"May 28, 2020",4851
Africa,,"May 29, 2020",4749
Africa,,"May 30, 2020",5868
Africa,,"May 31, 2020",6473
Africa,,"Jun 1, 2020",5374
Africa,,"Jun 2, 2020",5489
Africa,,"Jun 3, 2020",4965
Africa,,"Jun 4, 2020",4725
Africa,,"Jun 5, 2020",7648
Africa,,"Jun 6, 2020",7386
Africa,,"Jun 7, 2020",6418
Africa,,"Jun 8, 2020",5971
Africa,,"Jun 9, 2020",6972
Africa,,"Jun 10, 2020",6572
Africa,,"Jun 11, 2020",6481
Africa,,"Jun 12, 2020",7247
Africa,,"Jun 13, 2020",8620
Africa,,"Jun 14, 2020",8333
Africa,,"Jun 15, 2020",9302
Albania,ALB,"Mar 9, 2020",2
Albania,ALB,"Mar 10, 2020",4
Albania,ALB,"Mar 11, 2020",4
Albania,ALB,"Mar 12, 2020",1
Albania,ALB,"Mar 13, 2020",12
Albania,ALB,"Mar 14, 2020",10
Albania,ALB,"Mar 15, 2020",5
Albania,ALB,"Mar 16, 2020",4
Albania,ALB,"Mar 17, 2020",9
Albania,ALB,"Mar 18, 2020",4
Albania,ALB,"Mar 19, 2020",4
Albania,ALB,"Mar 20, 2020",11
Albania,ALB,"Mar 21, 2020",0
Albania,ALB,"Mar 22, 2020",6
Albania,ALB,"Mar 23, 2020",13
Albania,ALB,"Mar 24, 2020",11
Albania,ALB,"Mar 25, 2020",23
Albania,ALB,"Mar 26, 2020",23
Albania,ALB,"Mar 27, 2020",28
Albania,ALB,"Mar 28, 2020",12
Albania,ALB,"Mar 29, 2020",11
Albania,ALB,"Mar 30, 2020",15
Albania,ALB,"Mar 31, 2020",11
Albania,ALB,"Apr 1, 2020",20
Albania,ALB,"Apr 2, 2020",16
Albania,ALB,"Apr 3, 2020",18
Albania,ALB,"Apr 4, 2020",27
Albania,ALB,"Apr 5, 2020",29
Albania,ALB,"Apr 6, 2020",28
Albania,ALB,"Apr 7, 2020",16
Albania,ALB,"Apr 8, 2020",6
Albania,ALB,"Apr 9, 2020",17
Albania,ALB,"Apr 10, 2020",9
Albania,ALB,"Apr 11, 2020",7
Albania,ALB,"Apr 12, 2020",17
Albania,ALB,"Apr 13, 2020",13
Albania,ALB,"Apr 14, 2020",21
Albania,ALB,"Apr 15, 2020",8
Albania,ALB,"Apr 16, 2020",19
Albania,ALB,"Apr 17, 2020",24
Albania,ALB,"Apr 18, 2020",21
Albania,ALB,"Apr 19, 2020",9
Albania,ALB,"Apr 20, 2020",14
Albania,ALB,"Apr 21, 2020",22
Albania,ALB,"Apr 22, 2020",25
Albania,ALB,"Apr 23, 2020",25
Albania,ALB,"Apr 24, 2020",29
Albania,ALB,"Apr 25, 2020",15
Albania,ALB,"Apr 26, 2020",34
Albania,ALB,"Apr 27, 2020",14
Albania,ALB,"Apr 28, 2020",10
Albania,ALB,"Apr 29, 2020",14
Albania,ALB,"Apr 30, 2020",16
Albania,ALB,"May 1, 2020",7
Albania,ALB,"May 2, 2020",9
Albania,ALB,"May 3, 2020",7
Albania,ALB,"May 4, 2020",6
Albania,ALB,"May 5, 2020",8
Albania,ALB,"May 6, 2020",17
Albania,ALB,"May 7, 2020",12
Albania,ALB,"May 8, 2020",10
Albania,ALB,"May 9, 2020",8
Albania,ALB,"May 10, 2020",6
Albania,ALB,"May 11, 2020",12
Albania,ALB,"May 12, 2020",4
Albania,ALB,"May 13, 2020",4
Albania,ALB,"May 14, 2020",4
Albania,ALB,"May 15, 2020",18
Albania,ALB,"May 16, 2020",18
Albania,ALB,"May 17, 2020",17
Albania,ALB,"May 18, 2020",13
Albania,ALB,"May 19, 2020",2
Albania,ALB,"May 20, 2020",1
Albania,ALB,"May 21, 2020",15
Albania,ALB,"May 22, 2020",5
Albania,ALB,"May 23, 2020",12
Albania,ALB,"May 24, 2020",8
Albania,ALB,"May 25, 2020",9
Albania,ALB,"May 26, 2020",6
Albania,ALB,"May 27, 2020",25
Albania,ALB,"May 28, 2020",21
Albania,ALB,"May 29, 2020",26
Albania,ALB,"May 30, 2020",23
Albania,ALB,"May 31, 2020",23
Albania,ALB,"Jun 1, 2020",15
Albania,ALB,"Jun 2, 2020",6
Albania,ALB,"Jun 3, 2020",21
Albania,ALB,"Jun 4, 2020",20
Albania,ALB,"Jun 5, 2020",13
Albania,ALB,"Jun 6, 2020",15
Albania,ALB,"Jun 7, 2020",20
Albania,ALB,"Jun 8, 2020",14
Albania,ALB,"Jun 9, 2020",17
Albania,ALB,"Jun 10, 2020",36
Albania,ALB,"Jun 11, 2020",42
Albania,ALB,"Jun 12, 2020",44
Albania,ALB,"Jun 13, 2020",31
Albania,ALB,"Jun 14, 2020",48
Albania,ALB,"Jun 15, 2020",57
Algeria,DZA,"Dec 31, 2019",0
Algeria,DZA,"Jan 1, 2020",0
Algeria,DZA,"Jan 2, 2020",0
Algeria,DZA,"Jan 3, 2020",0
Algeria,DZA,"Jan 4, 2020",0
Algeria,DZA,"Jan 5, 2020",0
Algeria,DZA,"Jan 6, 2020",0
Algeria,DZA,"Jan 7, 2020",0
Algeria,DZA,"Jan 8, 2020",0
Algeria,DZA,"Jan 9, 2020",0
Algeria,DZA,"Jan 10, 2020",0
Algeria,DZA,"Jan 11, 2020",0
Algeria,DZA,"Jan 12, 2020",0
Algeria,DZA,"Jan 13, 2020",0
Algeria,DZA,"Jan 14, 2020",0
Algeria,DZA,"Jan 15, 2020",0
Algeria,DZA,"Jan 16, 2020",0
Algeria,DZA,"Jan 17, 2020",0
Algeria,DZA,"Jan 18, 2020",0
Algeria,DZA,"Jan 19, 2020",0
Algeria,DZA,"Jan 20, 2020",0
Algeria,DZA,"Jan 21, 2020",0
Algeria,DZA,"Jan 22, 2020",0
Algeria,DZA,"Jan 23, 2020",0
Algeria,DZA,"Jan 24, 2020",0
Algeria,DZA,"Jan 25, 2020",0
Algeria,DZA,"Jan 26, 2020",0
Algeria,DZA,"Jan 27, 2020",0
Algeria,DZA,"Jan 28, 2020",0
Algeria,DZA,"Jan 29, 2020",0
Algeria,DZA,"Jan 30, 2020",0
Algeria,DZA,"Jan 31, 2020",0
Algeria,DZA,"Feb 1, 2020",0
Algeria,DZA,"Feb 2, 2020",0
Algeria,DZA,"Feb 3, 2020",0
Algeria,DZA,"Feb 4, 2020",0
Algeria,DZA,"Feb 5, 2020",0
Algeria,DZA,"Feb 6, 2020",0
Algeria,DZA,"Feb 7, 2020",0
Algeria,DZA,"Feb 8, 2020",0
Algeria,DZA,"Feb 9, 2020",0
Algeria,DZA,"Feb 10, 2020",0
Algeria,DZA,"Feb 11, 2020",0
Algeria,DZA,"Feb 12, 2020",0
Algeria,DZA,"Feb 13, 2020",0
Algeria,DZA,"Feb 14, 2020",0
Algeria,DZA,"Feb 15, 2020",0
Algeria,DZA,"Feb 16, 2020",0
Algeria,DZA,"Feb 17, 2020",0
Algeria,DZA,"Feb 18, 2020",0
Algeria,DZA,"Feb 19, 2020",0
Algeria,DZA,"Feb 20, 2020",0
Algeria,DZA,"Feb 21, 2020",0
Algeria,DZA,"Feb 22, 2020",0
Algeria,DZA,"Feb 23, 2020",0
Algeria,DZA,"Feb 24, 2020",0
Algeria,DZA,"Feb 25, 2020",0
Algeria,DZA,"Feb 26, 2020",1
Algeria,DZA,"Feb 27, 2020",0
Algeria,DZA,"Feb 28, 2020",0
Algeria,DZA,"Feb 29, 2020",0
Algeria,DZA,"Mar 1, 2020",2
Algeria,DZA,"Mar 2, 2020",0
Algeria,DZA,"Mar 4, 2020",2
Algeria,DZA,"Mar 5, 2020",7
Algeria,DZA,"Mar 6, 2020",5
Algeria,DZA,"Mar 9, 2020",3
Algeria,DZA,"Mar 12, 2020",0
Algeria,DZA,"Mar 13, 2020",5
Algeria,DZA,"Mar 14, 2020",1
Algeria,DZA,"Mar 15, 2020",11
Algeria,DZA,"Mar 16, 2020",11
Algeria,DZA,"Mar 17, 2020",10
Algeria,DZA,"Mar 18, 2020",2
Algeria,DZA,"Mar 19, 2020",12
Algeria,DZA,"Mar 20, 2020",18
Algeria,DZA,"Mar 21, 2020",12
Algeria,DZA,"Mar 22, 2020",37
Algeria,DZA,"Mar 23, 2020",62
Algeria,DZA,"Mar 24, 2020",29
Algeria,DZA,"Mar 25, 2020",34
Algeria,DZA,"Mar 26, 2020",38
Algeria,DZA,"Mar 27, 2020",65
Algeria,DZA,"Mar 28, 2020",42
Algeria,DZA,"Mar 29, 2020",45
Algeria,DZA,"Mar 30, 2020",57
Algeria,DZA,"Mar 31, 2020",73
Algeria,DZA,"Apr 1, 2020",132
Algeria,DZA,"Apr 2, 2020",131
Algeria,DZA,"Apr 3, 2020",139
Algeria,DZA,"Apr 4, 2020",185
Algeria,DZA,"Apr 5, 2020",80
Algeria,DZA,"Apr 6, 2020",69
Algeria,DZA,"Apr 7, 2020",103
Algeria,DZA,"Apr 8, 2020",45
Algeria,DZA,"Apr 9, 2020",104
Algeria,DZA,"Apr 10, 2020",94
Algeria,DZA,"Apr 11, 2020",95
Algeria,DZA,"Apr 12, 2020",64
Algeria,DZA,"Apr 13, 2020",89
Algeria,DZA,"Apr 14, 2020",69
Algeria,DZA,"Apr 15, 2020",87
Algeria,DZA,"Apr 16, 2020",90
Algeria,DZA,"Apr 17, 2020",108
Algeria,DZA,"Apr 18, 2020",150
Algeria,DZA,"Apr 19, 2020",117
Algeria,DZA,"Apr 20, 2020",94
Algeria,DZA,"Apr 21, 2020",89
Algeria,DZA,"Apr 22, 2020",93
Algeria,DZA,"Apr 23, 2020",99
Algeria,DZA,"Apr 24, 2020",97
Algeria,DZA,"Apr 25, 2020",120
Algeria,DZA,"Apr 26, 2020",129
Algeria,DZA,"Apr 27, 2020",126
Algeria,DZA,"Apr 28, 2020",135
Algeria,DZA,"Apr 29, 2020",132
Algeria,DZA,"Apr 30, 2020",199
Algeria,DZA,"May 1, 2020",158
Algeria,DZA,"May 2, 2020",148
Algeria,DZA,"May 3, 2020",141
Algeria,DZA,"May 4, 2020",179
Algeria,DZA,"May 5, 2020",174
Algeria,DZA,"May 6, 2020",190
Algeria,DZA,"May 7, 2020",159
Algeria,DZA,"May 8, 2020",185
Algeria,DZA,"May 9, 2020",187
Algeria,DZA,"May 10, 2020",189
Algeria,DZA,"May 11, 2020",165
Algeria,DZA,"May 12, 2020",168
Algeria,DZA,"May 13, 2020",176
Algeria,DZA,"May 14, 2020",186
Algeria,DZA,"May 15, 2020",189
Algeria,DZA,"May 16, 2020",187
Algeria,DZA,"May 17, 2020",192
Algeria,DZA,"May 18, 2020",198
Algeria,DZA,"May 19, 2020",182
Algeria,DZA,"May 20, 2020",176
Algeria,DZA,"May 21, 2020",165
Algeria,DZA,"May 22, 2020",186
Algeria,DZA,"May 23, 2020",190
Algeria,DZA,"May 24, 2020",195
Algeria,DZA,"May 25, 2020",193
Algeria,DZA,"May 26, 2020",197
Algeria,DZA,"May 27, 2020",194
Algeria,DZA,"May 28, 2020",160
Algeria,DZA,"May 29, 2020",140
Algeria,DZA,"May 30, 2020",137
Algeria,DZA,"May 31, 2020",133
Algeria,DZA,"Jun 1, 2020",127
Algeria,DZA,"Jun 2, 2020",119
Algeria,DZA,"Jun 3, 2020",113
Algeria,DZA,"Jun 4, 2020",0
Algeria,DZA,"Jun 5, 2020",205
Algeria,DZA,"Jun 6, 2020",104
Algeria,DZA,"Jun 7, 2020",115
Algeria,DZA,"Jun 8, 2020",104
Algeria,DZA,"Jun 9, 2020",111
Algeria,DZA,"Jun 10, 2020",117
Algeria,DZA,"Jun 11, 2020",102
Algeria,DZA,"Jun 12, 2020",105
Algeria,DZA,"Jun 13, 2020",109
Algeria,DZA,"Jun 14, 2020",112
Algeria,DZA,"Jun 15, 2020",109
Andorra,AND,"Mar 3, 2020",1
Andorra,AND,"Mar 14, 2020",1
Andorra,AND,"Mar 16, 2020",3
Andorra,AND,"Mar 17, 2020",9
Andorra,AND,"Mar 18, 2020",0
Andorra,AND,"Mar 19, 2020",39
Andorra,AND,"Mar 20, 2020",22
Andorra,AND,"Mar 21, 2020",0
Andorra,AND,"Mar 22, 2020",13
Andorra,AND,"Mar 23, 2020",25
Andorra,AND,"Mar 24, 2020",20
Andorra,AND,"Mar 25, 2020",31
Andorra,AND,"Mar 26, 2020",24
Andorra,AND,"Mar 27, 2020",36
Andorra,AND,"Mar 28, 2020",43
Andorra,AND,"Mar 29, 2020",41
Andorra,AND,"Mar 30, 2020",26
Andorra,AND,"Mar 31, 2020",36
Andorra,AND,"Apr 1, 2020",6
Andorra,AND,"Apr 2, 2020",14
Andorra,AND,"Apr 3, 2020",38
Andorra,AND,"Apr 4, 2020",11
Andorra,AND,"Apr 5, 2020",27
Andorra,AND,"Apr 6, 2020",35
Andorra,AND,"Apr 7, 2020",25
Andorra,AND,"Apr 8, 2020",19
Andorra,AND,"Apr 9, 2020",19
Andorra,AND,"Apr 10, 2020",19
Andorra,AND,"Apr 11, 2020",18
Andorra,AND,"Apr 12, 2020",21
Andorra,AND,"Apr 13, 2020",16
Andorra,AND,"Apr 14, 2020",8
Andorra,AND,"Apr 15, 2020",13
Andorra,AND,"Apr 16, 2020",14
Andorra,AND,"Apr 17, 2020",9
Andorra,AND,"Apr 18, 2020",14
Andorra,AND,"Apr 19, 2020",8
Andorra,AND,"Apr 20, 2020",9
Andorra,AND,"Apr 21, 2020",4
Andorra,AND,"Apr 22, 2020",0
Andorra,AND,"Apr 23, 2020",6
Andorra,AND,"Apr 24, 2020",1
Andorra,AND,"Apr 25, 2020",7
Andorra,AND,"Apr 26, 2020",2
Andorra,AND,"Apr 27, 2020",7
Andorra,AND,"Apr 28, 2020",3
Andorra,AND,"Apr 29, 2020",0
Andorra,AND,"Apr 30, 2020",0
Andorra,AND,"May 1, 2020",2
Andorra,AND,"May 2, 2020",1
Andorra,AND,"May 3, 2020",1
Andorra,AND,"May 4, 2020",1
Andorra,AND,"May 5, 2020",2
Andorra,AND,"May 6, 2020",1
Andorra,AND,"May 7, 2020",0
Andorra,AND,"May 8, 2020",1
Andorra,AND,"May 9, 2020",0
Andorra,AND,"May 10, 2020",2
Andorra,AND,"May 11, 2020",1
Andorra,AND,"May 12, 2020",1
Andorra,AND,"May 13, 2020",2
Andorra,AND,"May 14, 2020",2
Andorra,AND,"May 15, 2020",1
Andorra,AND,"May 16, 2020",0
Andorra,AND,"May 17, 2020",0
Andorra,AND,"May 18, 2020",0
Andorra,AND,"May 19, 2020",0
Andorra,AND,"May 20, 2020",0
Andorra,AND,"May 21, 2020",1
Andorra,AND,"May 22, 2020",0
Andorra,AND,"May 23, 2020",0
Andorra,AND,"May 24, 2020",0
Andorra,AND,"May 25, 2020",1
Andorra,AND,"May 26, 2020",0
Andorra,AND,"May 27, 2020",0
Andorra,AND,"May 28, 2020",0
Andorra,AND,"May 29, 2020",0
Andorra,AND,"May 30, 2020",1
Andorra,AND,"May 31, 2020",0
Andorra,AND,"Jun 1, 2020",0
Andorra,AND,"Jun 2, 2020",1
