Username,Timestamp,location,device
wake_fuck,2020-07-13 15:39:59+00:00,Dante’s inferno ,Mobile device
Extralien,2020-07-13 15:39:59+00:00,UK,Mobile device
leahbug56,2020-07-13 15:39:59+00:00,"Middle of Nowhere, USA",Mobile device
maria41362523,2020-07-13 15:39:59+00:00,,Android
Womenemerge1,2020-07-13 15:39:59+00:00,,Mobile device
Shawnrobb72,2020-07-13 15:40:00+00:00,"Wisconsin, USA",Android
PWhateley,2020-07-13 15:40:00+00:00,Independence La,iPhone
sweetkeet,2020-07-13 15:40:00+00:00,Toronto,Mobile device
MicrobesInfo,2020-07-13 15:40:00+00:00,Earth,Mobile device
woozleweasels,2020-07-13 15:40:00+00:00,USA,Mobile device
BindestrichAmi,2020-07-13 15:40:00+00:00,State of Jefferson,iPhone
tiananmian,2020-07-13 15:40:00+00:00,,-
SteveMcResist,2020-07-13 15:40:00+00:00,"Seattle, WA",iPhone
yazoofl,2020-07-13 15:40:00+00:00,,iPad
steveubl,2020-07-13 15:40:00+00:00,Washington DC,Mobile device
knoxchamber,2020-07-13 15:40:01+00:00,"Knoxville, TN",Mobile device
BIDAUK,2020-07-13 15:40:01+00:00,"316A Buxton Road, Stockport.",iPhone
montrealaise2,2020-07-13 15:40:01+00:00,Baie Verte,iPhone
OliverHanisch,2020-07-13 15:40:01+00:00,Germany,-
Rakesh61240750,2020-07-13 15:40:01+00:00,,Android
CornellPolicy,2020-07-13 15:40:01+00:00,"Ithaca, NY",Mobile device
BestAlchemistVA,2020-07-13 15:40:01+00:00,United States,Mobile device
Nendo254,2020-07-13 15:40:01+00:00,"Nairobi, Kenya",-
Cascadiabhc,2020-07-13 15:40:01+00:00,Oregon,Mobile device
stcroixregional,2020-07-13 15:40:01+00:00,"St. Croix Falls, WI",Mobile device
Adytaz,2020-07-13 15:40:01+00:00,,iPhone
aizenoharra,2020-07-13 15:40:02+00:00,matthew,Android
globaltimesnews,2020-07-13 15:40:02+00:00,"Beijing, China",-
Women4Biden,2020-07-13 15:40:02+00:00,The White House,iPhone
_Hamish,2020-07-13 15:40:02+00:00,Ottawa Valley Proud,iPhone
WyattAndie,2020-07-13 15:40:02+00:00,"Washington, DC",Mobile device
SeaSalt_12,2020-07-13 15:40:02+00:00,"Seattle, WA",iPhone
HeroticaBumbles,2020-07-13 15:40:02+00:00,,Mobile device
imaginefzk,2020-07-13 15:40:02+00:00,,Android
680NEWS,2020-07-13 15:40:02+00:00,Toronto,-
dxsherpa,2020-07-13 15:40:03+00:00,"Delaware, USA",-
rantingconsume1,2020-07-13 15:40:03+00:00,,Mobile device
alvarez_nimer,2020-07-13 15:40:03+00:00,"Ohio, USA",Android
MatrixFilia,2020-07-13 15:40:03+00:00,,Android
Naveenku555,2020-07-13 15:40:03+00:00,India,Android
PaulPaul49,2020-07-13 15:40:03+00:00,Liverpool UK,Android
scuds57,2020-07-13 15:40:03+00:00,"Missouri, USA",Android
Helping_HandsUK,2020-07-13 15:40:03+00:00,"Alcester, Warwickshire",iPhone
alvie_barr,2020-07-13 15:40:03+00:00,Canada,Mobile device
chemlibcam,2020-07-13 15:40:03+00:00,"Cambridge, UK",-
gebsaar,2020-07-13 15:40:03+00:00,"Buenos Aires, Argentina",Mobile device
AbdulCollo,2020-07-13 15:40:04+00:00,"Lodwar, Kenya",iPhone
kirbyallen00,2020-07-13 15:40:04+00:00,"Dallas, TX",iPhone
CobourgPolice,2020-07-13 15:40:04+00:00,"107 King St W, Cobourg, ON",Mobile device
vsatish_krishna,2020-07-13 15:40:04+00:00,"Palnadu,Guntur,A.P, India.",Android
LindaL16,2020-07-13 15:40:04+00:00,Rhyl,Mobile device
gingy_t,2020-07-13 15:40:04+00:00,"Connecticut, USA",iPhone
DI_tweet,2020-07-13 15:40:04+00:00,"Burlington, MA",-
octmcardoso,2020-07-13 15:40:04+00:00,"Boca Raton, FL",Android
ishtayaqrasool,2020-07-13 15:40:04+00:00,"Gurez, Kashmir ",Android
Ramesh64080840,2020-07-13 15:40:04+00:00,"karnal, India",Android
Mbdevolldd,2020-07-13 15:40:04+00:00,"South Carolina, USA",Mobile device
MasaroSaros,2020-07-13 15:40:04+00:00,"Atteridgeville, South Africa",Android
WHOWPRO,2020-07-13 15:40:04+00:00,"Manila, Philippines",Android
Speed_Peete,2020-07-13 15:40:05+00:00,...some german Shithole...,iPhone
Princess_BamBam,2020-07-13 15:40:05+00:00,United Kingdom,Mobile device
FryarMelodie,2020-07-13 15:40:05+00:00,,Android
millimaneb,2020-07-13 15:40:05+00:00,Global firm,-
TCK_FACTS,2020-07-13 15:40:05+00:00,,Android
AmJPrevMed,2020-07-13 15:40:05+00:00,"Ann Arbor, MI",Mobile device
AllofUsBadgers,2020-07-13 15:40:05+00:00,"Madison, WI",-
sarah_meinzer,2020-07-13 15:40:05+00:00,"Texas, USA",iPhone
Ellen40999264,2020-07-13 15:40:05+00:00,"Nevada City, CA",iPad
aqueerview,2020-07-13 15:40:05+00:00,"Los Angeles, CA",Android
AntiStateXian,2020-07-13 15:40:05+00:00,,Android
lotto_graphs,2020-07-13 15:40:06+00:00,"Massachusetts, USA",-
kymburleigh,2020-07-13 15:40:06+00:00,"San Francisco, CA",iPhone
UNPeacekeeping,2020-07-13 15:40:06+00:00,"New York, NY",-
lch1540,2020-07-13 15:40:06+00:00,,iPhone
Budo99,2020-07-13 15:40:06+00:00,In a land of confusion.,Mobile device
htTweets,2020-07-13 15:40:06+00:00,India,-
SevereSociety,2020-07-13 15:40:06+00:00,"Las Vegas, NV",Android
CovidUpdatesEA,2020-07-13 15:40:07+00:00,,-
AnuragP72301310,2020-07-13 15:40:07+00:00,India ,Android
Suhmore4494,2020-07-13 15:40:07+00:00,,iPhone
FRANNYD1,2020-07-13 15:40:07+00:00,"Scottsdale, Az",iPhone
BigMommaLurka,2020-07-13 15:40:07+00:00,,Android
tempkt,2020-07-13 15:40:07+00:00,Ohio,iPhone
berurrin,2020-07-13 15:40:07+00:00,東京都,iPhone
Shakeel_PPPKP,2020-07-13 15:40:07+00:00,Pakistan,Android
Femtonics,2020-07-13 15:40:07+00:00,"Budapest, Hungary",Mobile device
jhengstler,2020-07-13 15:40:07+00:00,,iPhone
Javier4Florida,2020-07-13 15:40:08+00:00,"Miami, FL",iPhone
Itasanders,2020-07-13 15:40:08+00:00,"Davis, CA",iPad
DrAbkallo,2020-07-13 15:40:08+00:00,United Kingdom,Android
addiesbeaver,2020-07-13 15:40:08+00:00,,iPhone
BIDAUK,2020-07-13 15:40:08+00:00,"316A Buxton Road, Stockport.",iPhone
Ognir2,2020-07-13 15:40:08+00:00,Ireland,Mobile device
EU_CEPOL,2020-07-13 15:40:08+00:00,"Budapest, Hungary",Mobile device
CanadaChildLife,2020-07-13 15:40:08+00:00,Canada,iPad
hecsev,2020-07-13 15:40:09+00:00,Orlando - FL,Android
WhiteMo93829447,2020-07-13 15:40:09+00:00,Gangster's Paradise - GP ZAR ,Android
MimiTexasAngel,2020-07-13 15:40:09+00:00,Planet Earth,Mobile device
SwagelokPGH,2020-07-13 15:40:09+00:00,"Pittsburgh, PA",-
sarah_meinzer,2020-07-13 15:40:10+00:00,"Texas, USA",iPhone
vencafePVD,2020-07-13 15:40:10+00:00,Providence,Mobile device
PIARC_Roads,2020-07-13 15:40:10+00:00,"París, Francia",Mobile device
ODIdev,2020-07-13 15:40:10+00:00,,Mobile device
KathyKrafka,2020-07-13 15:40:10+00:00,,iPhone
coach_marcela,2020-07-13 15:40:10+00:00,,Mobile device
phenomenalGP,2020-07-13 15:40:10+00:00,"Houston, TX",iPhone
LondonSport,2020-07-13 15:40:10+00:00,London,-
AllenBranthafer,2020-07-13 15:40:11+00:00,Pa.,Mobile device
mariewmcclellan,2020-07-13 15:40:11+00:00,Texas,iPhone
boggcat1,2020-07-13 15:40:11+00:00,,Mobile device
richardajabu,2020-07-13 15:40:11+00:00,,Android
Pamhubley,2020-07-13 15:40:11+00:00,,iPhone
missb62,2020-07-13 15:40:11+00:00,Colorado,iPad
LyleMultimedia,2020-07-13 15:40:11+00:00,"From New Jersey, to the DMV, now in Connecticut.",iPhone
Brigitedasilva1,2020-07-13 15:40:11+00:00,,Android
charlotteisob,2020-07-13 15:40:12+00:00,"Rotherham, England",iPhone
Aroraparas99,2020-07-13 15:40:12+00:00,India,Android
ultimateOne,2020-07-13 15:40:12+00:00,The Genuine West,Mobile device
david_dpitts051,2020-07-13 15:40:12+00:00,,iPhone
gingy_t,2020-07-13 15:40:12+00:00,"Connecticut, USA",iPhone
GibHammond,2020-07-13 15:40:12+00:00,,Android
JomFolezzz,2020-07-13 15:40:13+00:00,"Portland, OR",Mobile device
UCLIRDR,2020-07-13 15:40:12+00:00,"UCL, London",iPad
ChandrakarPravi,2020-07-13 15:40:13+00:00,,Mobile device
ACCentralLancs,2020-07-13 15:40:12+00:00,"Preston, Lancashire",-
WilliamFarling4,2020-07-13 15:40:13+00:00,United States,iPhone
Venkate97498674,2020-07-13 15:40:13+00:00,,Android
ExpertsRecords,2020-07-13 15:40:13+00:00,"Port Harcourt, Nigeria",Android
Redacted_IGN,2020-07-13 15:40:13+00:00,Your Mentions,Mobile device
what_speed,2020-07-13 15:40:13+00:00,🏜  Valley of the sun 🌵☀️,Android
leoharshvardhan,2020-07-13 15:40:13+00:00,आर्यावर्त.भारतीय फौज 🇮🇳⚔,Android
AidanHynes5,2020-07-13 15:40:13+00:00,,Android
wombat63321319,2020-07-13 15:40:13+00:00,,iPhone
NECouncil,2020-07-13 15:40:13+00:00,"Boston, MA",Mobile device
Si1verSurfer,2020-07-13 15:40:14+00:00,Fearful Dark Ages (Scotland),iPad
KayPatrician,2020-07-13 15:40:14+00:00,,Android
hche_uhh,2020-07-13 15:40:14+00:00,"Esplanade 36, 20354 Hamburg",Mobile device
UWMadisonURP,2020-07-13 15:40:14+00:00,"Madison, WI",-
JackieM_at_home,2020-07-13 15:40:14+00:00,"Cambridge, England",Android
PKWomeninMed,2020-07-13 15:40:14+00:00,Pakistan,iPhone
RaviSha77754304,2020-07-13 15:40:14+00:00,,Android
X1Discovery,2020-07-13 15:40:14+00:00,"617 W 7th St, Los Angeles, CA ",-
PPICNotes,2020-07-13 15:40:14+00:00,"San Francisco & Sacramento, CA",-
BettyBays2,2020-07-13 15:40:15+00:00,Bournemouth ,Mobile device
christifowler10,2020-07-13 15:40:15+00:00,,iPhone
AFCUrgentCareLM,2020-07-13 15:40:15+00:00,,-
rwang0,2020-07-13 15:40:15+00:00,Silicon Valley | SF | 39.5k ft,-
DayerAk,2020-07-13 15:40:15+00:00,,iPhone
Odbe34,2020-07-13 15:40:16+00:00,Europe,iPad
ONWiE_,2020-07-13 15:40:16+00:00,Ontario,-
market_2_sell,2020-07-13 15:40:16+00:00,"Antop Hill, Mumbai",Android
CityNews,2020-07-13 15:40:16+00:00,"Toronto, Ontario",-
GoShade,2020-07-13 15:40:17+00:00,,iPhone
Samjb,2020-07-13 15:40:17+00:00,Somewhere in Texas,Android
uVelisokuhle,2020-07-13 15:40:17+00:00,"Port Elizabeth,South Africa",iPhone
JYOTHIKASURIYAA,2020-07-13 15:40:17+00:00,Twitter 🐦,Mobile device
LenaweeDurham,2020-07-13 15:40:18+00:00,"Adrian, MI",Mobile device
CLOSER_UK,2020-07-13 15:40:18+00:00,United Kingdom,Mobile device
Joann95197683,2020-07-13 15:40:18+00:00,,iPhone
Nilesh44101775,2020-07-13 15:40:18+00:00,,Android
LAMofficial,2020-07-13 15:40:18+00:00,Los Angeles CA USA,Mobile device
vagabondvicki,2020-07-13 15:40:18+00:00,"Winslow, AZ",iPhone
GeenaJagger,2020-07-13 15:40:18+00:00,,Android
SLJay82,2020-07-13 15:40:18+00:00,,iPhone
dc8641,2020-07-13 15:40:18+00:00,"Minneapolis, MN",iPhone
DoctorAnandhi,2020-07-13 15:40:19+00:00,"Los Angeles, CA",iPhone
bigbigtrain,2020-07-13 15:40:19+00:00,"Wessex, England",iPad
dibbseonsa,2020-07-13 15:40:19+00:00,,Mobile device
Itsallmental22,2020-07-13 15:40:19+00:00,,Mobile device
rebelspy77,2020-07-13 15:40:19+00:00,"Nevada, USA",iPhone
SnarkyPost,2020-07-13 15:40:19+00:00,"Minneapolis, MN",iPhone
lombomarco,2020-07-13 15:40:19+00:00,,Mobile device
djsnehal,2020-07-13 15:40:19+00:00,,Android
CornellMedia,2020-07-13 15:40:19+00:00,"Ithaca, New York",-
vignesh160791,2020-07-13 15:40:19+00:00,Chennai,Android
mattcaindy,2020-07-13 15:40:20+00:00,,iPhone
adr_uk,2020-07-13 15:40:20+00:00,,Mobile device
debp326,2020-07-13 15:40:20+00:00,"Northampton, MA",iPhone
csoftg,2020-07-13 15:40:20+00:00,"Worcester, MA",iPhone
Charles33359581,2020-07-13 15:40:20+00:00,United States,Android
eliizikovitz,2020-07-13 15:40:20+00:00,"Asbury Park, NJ",iPhone
CanadaChildLife,2020-07-13 15:40:20+00:00,Canada,iPad
Dlkohler1,2020-07-13 15:40:20+00:00,,Android
AbdullAli0,2020-07-13 15:40:20+00:00,"Abuja, Nigeria",iPhone
my1blood,2020-07-13 15:40:21+00:00,"Florida, USA",-
real_sella,2020-07-13 15:40:21+00:00,,Android
kellicamel,2020-07-13 15:40:21+00:00,"Georgia, USA",Mobile device
SunilMath83,2020-07-13 15:40:21+00:00,"Bengaluru, India",Android
cscollinsmd,2020-07-13 15:40:22+00:00,"Rochester, MN",iPhone
BringDrewHome,2020-07-13 15:40:22+00:00,"Berkeley, CA",iPhone
KatochPushpa,2020-07-13 15:40:22+00:00,"Kullu and Manali, India",Android
_gordonchan,2020-07-13 15:40:22+00:00,in my feelings,iPhone
jirakitz,2020-07-13 15:40:22+00:00,"Lucerne, Switzerland",Android
Gcastano43,2020-07-13 15:40:22+00:00,"New Jersey, us",Android
kymburleigh,2020-07-13 15:40:22+00:00,"San Francisco, CA",iPhone
SuperNerdyMama,2020-07-13 15:40:23+00:00,,iPhone
WepaFuego,2020-07-13 15:40:23+00:00,NY,Android
joz_escobedo,2020-07-13 15:40:23+00:00,"Dallas, TX",iPhone
Laurie_Garrett,2020-07-13 15:40:23+00:00,"New York, NY",Android
nomalynneggers,2020-07-13 15:40:23+00:00,"Ohio, USA",iPhone
iwpg_la,2020-07-13 15:40:23+00:00,,Mobile device
psinaz,2020-07-13 15:40:23+00:00,"Phoenix, AZ",Android
YL4HGhana,2020-07-13 15:40:23+00:00,Ghana,iPhone
JORGEQUEIROZxox,2020-07-13 15:40:23+00:00,Norway,iPhone
djnicholl,2020-07-13 15:40:24+00:00,By my (cleaned) tendon hammer,iPhone
DianneF53310191,2020-07-13 15:40:24+00:00,"Texas, USA",Android
dannyramos760,2020-07-13 15:40:24+00:00,CA,Android
marykinva,2020-07-13 15:40:24+00:00,"Virginia, USA",iPhone
BotRaj1,2020-07-13 15:40:24+00:00,,Bot
Foundrian_1,2020-07-13 15:40:24+00:00,"Bloemfontein, Free State.",Android
AnaPuigRES,2020-07-13 15:40:25+00:00,"Pinecrest, FL",iPhone
jumpstartangels,2020-07-13 15:40:25+00:00,New Jersey,Mobile device
BoozeDonkey,2020-07-13 15:40:25+00:00,"Victoria, BC, Canada",Mobile device
Dsttviljoen,2020-07-13 15:40:25+00:00,Gauteng,Android
AMUdisastercrew,2020-07-13 15:40:25+00:00,,Mobile device
deerhyde,2020-07-13 15:40:25+00:00,,Mobile device
Giroflo,2020-07-13 15:40:26+00:00,"Massachusetts, USA",Android
GentleNon,2020-07-13 15:40:26+00:00,United States,iPhone
thebraddock,2020-07-13 15:40:26+00:00,,Android
CairnApps,2020-07-13 15:40:26+00:00,"Smithfield, VA",Mobile device
HealthSystemsAZ,2020-07-13 15:40:26+00:00,"Arizona, USA",Mobile device
HappaNarinder,2020-07-13 15:40:26+00:00,"Jammu,J&K (India)",Mobile device
ScienceMilk,2020-07-13 15:40:26+00:00,,Android
EmelyMa41312967,2020-07-13 15:40:26+00:00,,Mobile device
NaiduPsp,2020-07-13 15:40:27+00:00,,Android
JcindyinA,2020-07-13 15:40:27+00:00,"Colorado Springs, CO",Mobile device
Ruthvikmonty,2020-07-13 15:40:27+00:00,Hyderabad,iPhone
BlueSkyGrannie,2020-07-13 15:40:27+00:00,"Arkansas, USA",Mobile device
natsa10,2020-07-13 15:40:27+00:00,"Montevideo, Uruguay",Android
RTPIScotland,2020-07-13 15:40:27+00:00,Scotland,Android
KhilnaniAashish,2020-07-13 15:40:27+00:00,"New Delhi, India",Mobile device
JustanObserve18,2020-07-13 15:40:28+00:00,,Mobile device
SPEAKUPJULIA,2020-07-13 15:40:28+00:00,Red State,Android
CAAREUSA,2020-07-13 15:40:28+00:00,,Mobile device
marcelpicard,2020-07-13 15:40:28+00:00,"MB, CAN",iPhone
JOEHOWE60119807,2020-07-13 15:40:28+00:00,,iPhone
himanshu9855,2020-07-13 15:40:28+00:00,"New Delhi, India",Mobile device
Sammicordova,2020-07-13 15:40:28+00:00,New Mexico ,iPhone
SeppJohn,2020-07-13 15:40:28+00:00,"Austin, TX",-
designsbycary,2020-07-13 15:40:28+00:00,"The Colony, TX",Android
thinkkimthink,2020-07-13 15:40:29+00:00,"Manhattan, NY",Android
Kgomo389,2020-07-13 15:40:29+00:00,Pietermaritzburg,Mobile device
PavanRa37190326,2020-07-13 15:40:29+00:00,,Android
tammy1667,2020-07-13 15:40:29+00:00,,iPhone
Esor84,2020-07-13 15:40:30+00:00,"Gateshead, Tyne and Wear",Android
qtnet,2020-07-13 15:40:30+00:00,,Mobile device
Krishan34113141,2020-07-13 15:40:30+00:00,,Android
harshaldesai_,2020-07-13 15:40:30+00:00,"Goa, India",Android
JohnnyHK,2020-07-13 15:40:30+00:00,"Fresno, CA",iPhone
Paf000001,2020-07-13 15:40:30+00:00,Rural Oregon,iPhone
pennyjmelton,2020-07-13 15:40:30+00:00,,iPhone
Hannasplanet,2020-07-13 15:40:30+00:00,,Android
rebebebozo,2020-07-13 15:40:31+00:00,,Mobile device
AlagarRaghavan,2020-07-13 15:40:31+00:00,,Android
BEAST_BULLY,2020-07-13 15:40:32+00:00,"Johannesburg, South Africa",iPhone
iragsdale,2020-07-13 15:40:32+00:00,"Atlanta, GA",iPad
CDCSTD,2020-07-13 15:40:32+00:00,"Atlanta,GA | Twitter policy:",Mobile device
soubhagyarrout,2020-07-13 15:40:32+00:00,"Kendujhar, Odisha, India ",Android
BellaBamTam,2020-07-13 15:40:33+00:00,"Houston,Texas",iPhone
LizRich41497573,2020-07-13 15:40:33+00:00,Texas,Mobile device
deadc0ffee,2020-07-13 15:40:33+00:00,"McHenry, IL",iPhone
DigitalPhamcist,2020-07-13 15:40:34+00:00,Great Britain,iPhone
covid19hq1,2020-07-13 15:40:34+00:00,,-
vickilynnn51,2020-07-13 15:40:34+00:00,,Android
ajdiva99,2020-07-13 15:40:34+00:00,,iPhone
MVF_org,2020-07-13 15:40:34+00:00,Africa,Mobile device
missb62,2020-07-13 15:40:34+00:00,Colorado,iPad
weejulie73,2020-07-13 15:40:34+00:00,"Old Kilpatrick, Scotland",Android
Gustavobequer,2020-07-13 15:40:35+00:00,"La Habana, Cuba",Mobile device
NeelamS40767831,2020-07-13 15:40:35+00:00,Gharunda karnal ,Android
AlCapone_76,2020-07-13 15:40:35+00:00,"Northbridge, 386 DX 2-66",Android
ororacharles,2020-07-13 15:40:35+00:00,A roving Kenyan,Mobile device
Im_Jaydeb,2020-07-13 15:40:35+00:00,"Jalpaiguri, India",iPhone
Sim30445547,2020-07-13 15:40:35+00:00,,Mobile device
McDee85,2020-07-13 15:40:35+00:00,"Pays de la Loire, France",Android
Beast29mode,2020-07-13 15:40:35+00:00,,iPhone
ChandraBorthak4,2020-07-13 15:40:35+00:00,,Mobile device
YUVASHAKTISENA1,2020-07-13 15:40:36+00:00,"Mirzapur, India",Android
TheRichardExp,2020-07-13 15:40:36+00:00,"Lewisville, TX",iPhone
BhagwaSpeaks,2020-07-13 15:40:36+00:00,,Mobile device
covindia19,2020-07-13 15:40:36+00:00,,Mobile device
Verdisrequiem,2020-07-13 15:40:37+00:00,,Android
COcannasales,2020-07-13 15:40:37+00:00,"Colorado, USA",iPhone
AkarshakSaroop,2020-07-13 15:40:37+00:00,Jammu,Android
BromleyBoxing,2020-07-13 15:40:37+00:00,"Bromley, Greater London.",iPhone
afterthebridge,2020-07-13 15:40:37+00:00,pittsburgh,iPad
MumbaiHeist,2020-07-13 15:40:38+00:00,India,Android
yayulaaa,2020-07-13 15:40:38+00:00,,Android
SP_Gateway,2020-07-13 15:40:38+00:00,,Mobile device
blairjust,2020-07-13 15:40:38+00:00,"Richmond, VA  #RVA",Android
Anzers,2020-07-13 15:40:38+00:00,,Mobile device
jkawatu,2020-07-13 15:40:38+00:00,"Little Rock, AR",iPhone
GeminiK12904727,2020-07-13 15:40:38+00:00,,Android
ccarneym,2020-07-13 15:40:38+00:00,,Mobile device
yar_linda,2020-07-13 15:40:39+00:00,,iPad
TipsyFairview,2020-07-13 15:40:39+00:00,,Mobile device
hfreedom,2020-07-13 15:40:39+00:00,"Abilene, TX",iPhone
ClimateIowa,2020-07-13 15:40:39+00:00,,Mobile device
RRalstonAgile,2020-07-13 15:40:39+00:00,"Seattle, WA",iPad
slice7,2020-07-13 15:40:40+00:00,"Treynor, Iowa",iPad
F_I_S_H4,2020-07-13 15:40:40+00:00,"Kirkwood, MO",iPhone
dibbseonsa,2020-07-13 15:40:40+00:00,,Mobile device
suhaaskumar1,2020-07-13 15:40:41+00:00,India,Mobile device
my_rizaniya,2020-07-13 15:40:41+00:00,Jeddah/Sri Lanka,Android
DaveKeeleyECG,2020-07-13 15:40:41+00:00,"Las Cruces, NM",Android
Sightsavers_Pol,2020-07-13 15:40:41+00:00,,-
DameProgressive,2020-07-13 15:40:41+00:00,,iPhone
CarrazcoDuarte,2020-07-13 15:40:41+00:00,,iPhone
roknlive,2020-07-13 15:40:41+00:00,32224,iPhone
SecretariatSDGs,2020-07-13 15:40:42+00:00,"Islamabad, Pakistan",Mobile device
enammkt,2020-07-13 15:40:42+00:00,,Android
New_AllyO,2020-07-13 15:40:42+00:00,"Toronto, Ontario",iPhone
LionAjayJain1,2020-07-13 15:40:42+00:00,,Android
SSirocchi,2020-07-13 15:40:42+00:00,,iPhone
SolaSotunde,2020-07-13 15:40:42+00:00,Canada,Android
ImpeachTheNazi,2020-07-13 15:40:42+00:00,New York City,Mobile device
TheLancetEndo,2020-07-13 15:40:43+00:00,London,Mobile device
RBMcSwiggins,2020-07-13 15:40:44+00:00,,iPad
TexasHHSC,2020-07-13 15:40:43+00:00,Texas,Mobile device
saltpepperton,2020-07-13 15:40:44+00:00,,Android
phillyrcvt,2020-07-13 15:40:44+00:00,"Colorado, USA",iPhone
OR_CTR_NRS,2020-07-13 15:40:44+00:00,"Portland, Oregon",-
raincoaster,2020-07-13 15:40:44+00:00,"Ottawa, Ontario",Mobile device
rkunalm,2020-07-13 15:40:44+00:00,India,Android
dinerlee,2020-07-13 15:40:45+00:00,"North Carolina, USA",iPhone
Kauairockchick,2020-07-13 15:40:45+00:00,"Solana Beach, CA",iPhone
tobyh45,2020-07-13 15:40:46+00:00,Bristol,iPhone
SandraOnEarth,2020-07-13 15:40:46+00:00,"Manhattan, NY",Android
RikiMme,2020-07-13 15:40:46+00:00,"Hamilton, Ontario, Canada",Mobile device
dgh2540,2020-07-13 15:40:46+00:00,,Mobile device
RGBThink,2020-07-13 15:40:46+00:00,"California, USA",iPhone
animalsmatter01,2020-07-13 15:40:47+00:00,"California, USA",iPhone
shelleylyford,2020-07-13 15:40:47+00:00,"San Diego, CA",iPhone
MarinaWalkerG,2020-07-13 15:40:47+00:00,"Washington, DC",-
ba_steinberg,2020-07-13 15:40:47+00:00,"Salt Lake City, UT",Android
pmckasy,2020-07-13 15:40:47+00:00,"Palm Springs, CA ",Android
MsOmneo,2020-07-13 15:40:47+00:00,United States,iPad
SimpleDaddy1,2020-07-13 15:40:48+00:00,,Android
Veegerbeeper,2020-07-13 15:40:48+00:00,"Phoenix, AZ",Android
HibernationON,2020-07-13 15:40:48+00:00,,Android
ssmarba,2020-07-13 15:40:48+00:00,"Briar Patch,Fl. ",iPhone
annieg6,2020-07-13 15:40:48+00:00,"Boise, ID",Mobile device
MMale63,2020-07-13 15:40:49+00:00,,Mobile device
gnarly_narwhals,2020-07-13 15:40:49+00:00,East Towson ✈ West Towson,iPhone
FlattenTheBoom,2020-07-13 15:40:49+00:00,,iPhone
susanne_cramer,2020-07-13 15:40:49+00:00,"Manchester, NH",iPhone
Devi86255415,2020-07-13 15:40:49+00:00,,Android
bchouster,2020-07-13 15:40:50+00:00,"Paris, France",iPhone
AIDSinfo,2020-07-13 15:40:50+00:00,,Mobile device
kausikdatta22,2020-07-13 15:40:50+00:00,,iPhone
timwood95,2020-07-13 15:40:51+00:00,Germany,Android
AutumnWTSP,2020-07-13 15:40:51+00:00,"Tampa Bay, Florida",iPhone
KrantthiChary,2020-07-13 15:40:51+00:00,"HYD, Telangana !",Android
AsItIs13658173,2020-07-13 15:40:51+00:00,"South East, England",iPhone
lservies,2020-07-13 15:40:51+00:00,Behind You!,iPad
JohnBrodrick,2020-07-13 15:40:51+00:00,"Nakuru, Kenya",Mobile device
Realness1207,2020-07-13 15:40:51+00:00,Malawi,Android
WorldCOVID19,2020-07-13 15:40:51+00:00,United Kingdom,iPad
AmieReyex,2020-07-13 15:40:51+00:00,,iPhone
EMoranMtz,2020-07-13 15:40:51+00:00,mexico city,Android
lilybeth1234,2020-07-13 15:40:51+00:00,"Massachusetts, USA",Android
VoteForChanges,2020-07-13 15:40:52+00:00,,iPhone
miguelcasof,2020-07-13 15:40:52+00:00,"París, Francia",Mobile device
660NEWS,2020-07-13 15:40:52+00:00,Calgary,Mobile device
MMattoch,2020-07-13 15:40:52+00:00,"California, USA",iPhone
Milanmtadha,2020-07-13 15:40:52+00:00,"Talaja,gujrat,India",Android
fogle_shane,2020-07-13 15:40:52+00:00,United States,iPhone
bvsaivk018,2020-07-13 15:40:53+00:00,,Android
BrendasLunch,2020-07-13 15:40:53+00:00,Washington DC,Mobile device
MatlakaneSebot3,2020-07-13 15:40:53+00:00,"eMalahleni, South Africa",Android
bmqaphoor,2020-07-13 15:40:54+00:00,Katsina Nigeria,Android
TrilliumCollege,2020-07-13 15:40:54+00:00,Ontario,-
OrsonLit,2020-07-13 15:40:54+00:00,Edge of Sherwood Forest.,iPad
maynorce,2020-07-13 15:40:54+00:00,,Mobile device
LodadioSabrina,2020-07-13 15:40:54+00:00,"Frascati, Italy",Mobile device
dlonorse,2020-07-13 15:40:55+00:00,"Berkeley, California",Mobile device
alaint05287036,2020-07-13 15:40:55+00:00,,Android
jennyrogers_ray,2020-07-13 15:40:55+00:00,London,iPad
TaraBharali7,2020-07-13 15:40:55+00:00,,Android
LoveThePuck,2020-07-13 15:40:56+00:00,Land of the Cross Check ,iPhone
GoAUpher,2020-07-13 15:40:56+00:00,"Cincinnati, OH",-
CPindarella,2020-07-13 15:40:56+00:00,United States of AMERICA ,Android
DeliaMacD1,2020-07-13 15:40:56+00:00,,Mobile device
rwang0,2020-07-13 15:40:56+00:00,Silicon Valley | SF | 39.5k ft,Mobile device
planituk,2020-07-13 15:40:56+00:00,UK,iPad
AayushreeN,2020-07-13 15:40:56+00:00,Nepal | Thailand,iPhone
JulieJuliebat,2020-07-13 15:40:56+00:00,liverpool,iPhone
authorclondon,2020-07-13 15:40:56+00:00,The basement of the Alamo,Mobile device
Passport_ATL,2020-07-13 15:40:57+00:00,"Metro Atlanta, GA",-
oh_melodylane,2020-07-13 15:40:57+00:00,,Mobile device
OneVenusThrow,2020-07-13 15:40:57+00:00,Manna-hata,Mobile device
